response_id,possible_action,action_type
1,Protocol Amendment,Not Applicable
1,Change in QTL Threshold,Not Applicable
1,Change in QTL Parameter Metric,Not Applicable
1,Change in QTL Statistical Distribution,Not Applicable
1,Change in QTL Statistical Methodology,Not Applicable
1,Change in Trial Monitoring Strategy,Primary Breach
1,Change in Trial Monitoring Strategy,Secondary Breach
1,Instructions Provided to Sites,Primary Breach
1,Instructions Provided to Sites,Secondary Breach
1,Instructions Provided to Vendors,Primary Breach
1,Instructions Provided to Vendors,Secondary Breach
2,Instructions Provided to Sites,Primary Breach
2,Instructions Provided to Sites,Secondary Breach
2,Instructions Provided to Vendors,Primary Breach
2,Instructions Provided to Vendors,Secondary Breach
3,Protocol Amendment,Primary Breach
3,Change in QTL Threshold,Not Applicable
3,Change in QTL Parameter Metric,Not Applicable
3,Change in QTL Statistical Distribution,Not Applicable
3,Change in QTL Statistical Methodology,Not Applicable
3,Change in Trial Monitoring Strategy,Primary Breach
3,Instructions Provided to Sites,Primary Breach
3,Instructions Provided to Vendors,Not Applicable
3,Other,Not Applicable
4,Other,Primary Breach
4,Other,Secondary Breach
4,Other,Not Applicable
5,Protocol Amendment,Primary Breach
5,Change in QTL Threshold,Secondary Breach
5,Change in QTL Parameter Metric,Not Applicable
5,Change in QTL Statistical Distribution,Not Applicable
5,Change in QTL Statistical Methodology,Not Applicable
5,Change in Trial Monitoring Strategy,Not Applicable
5,Instructions Provided to Sites,Primary Breach
5,Instructions Provided to Sites,Secondary Breach
5,Instructions Provided to Vendors,Primary Breach
5,Instructions Provided to Vendors,Secondary Breach
7,Protocol Amendment,Not Applicable
7,Change in QTL Threshold,Secondary Breach
7,Change in QTL Threshold,Not Applicable
7,Change in QTL Parameter Metric,Not Applicable
7,Change in QTL Statistical Distribution,Not Applicable
7,Change in QTL Statistical Methodology,Not Applicable
7,Change in Trial Monitoring Strategy,Not Applicable
7,Instructions Provided to Sites,Primary Breach
7,Instructions Provided to Sites,Secondary Breach
7,Instructions Provided to Vendors,Not Applicable
7,Other,Not Applicable
8,Protocol Amendment,Primary Breach
8,Change in QTL Threshold,Primary Breach
8,Change in QTL Threshold,Secondary Breach
8,Change in QTL Parameter Metric,Primary Breach
8,Change in QTL Parameter Metric,Secondary Breach
8,Change in QTL Statistical Distribution,Primary Breach
8,Change in QTL Statistical Distribution,Secondary Breach
8,Change in QTL Statistical Methodology,Primary Breach
8,Change in QTL Statistical Methodology,Secondary Breach
8,Change in Trial Monitoring Strategy,Primary Breach
8,Change in Trial Monitoring Strategy,Secondary Breach
8,Instructions Provided to Sites,Primary Breach
8,Instructions Provided to Sites,Secondary Breach
8,Instructions Provided to Vendors,Primary Breach
8,Instructions Provided to Vendors,Secondary Breach
9,Protocol Amendment,Not Applicable
9,Change in QTL Threshold,Not Applicable
9,Change in QTL Parameter Metric,Not Applicable
9,Change in QTL Statistical Distribution,Not Applicable
9,Change in QTL Statistical Methodology,Not Applicable
9,Change in Trial Monitoring Strategy,Not Applicable
9,Instructions Provided to Sites,Not Applicable
9,Instructions Provided to Vendors,Not Applicable
9,Other,Not Applicable
10,Protocol Amendment,Primary Breach
10,Protocol Amendment,Secondary Breach
10,Change in QTL Threshold,Primary Breach
10,Change in QTL Threshold,Secondary Breach
10,Change in QTL Parameter Metric,Primary Breach
10,Change in QTL Parameter Metric,Secondary Breach
10,Change in QTL Statistical Distribution,Primary Breach
10,Change in QTL Statistical Distribution,Secondary Breach
10,Change in QTL Statistical Methodology,Primary Breach
10,Change in QTL Statistical Methodology,Secondary Breach
10,Change in Trial Monitoring Strategy,Primary Breach
10,Change in Trial Monitoring Strategy,Secondary Breach
10,Instructions Provided to Sites,Primary Breach
10,Instructions Provided to Sites,Secondary Breach
10,Instructions Provided to Vendors,Primary Breach
11,Protocol Amendment,Primary Breach
11,Change in QTL Threshold,Primary Breach
11,Change in QTL Parameter Metric,Primary Breach
11,Change in QTL Statistical Distribution,Secondary Breach
11,Change in QTL Statistical Methodology,Not Applicable
