response_id,functional_area
1,Clinical Operations
1,Data Management
1,Biostatistics
1,Clinical Science
1,Safety Science
1,Quality Functions
1,Other
2,Clinical Operations
2,Data Management
2,Biostatistics
2,Clinical Science
3,Clinical Operations
3,Data Management
3,Biostatistics
3,Clinical Science
3,Safety Science
3,Quality Functions
4,Clinical Operations
4,Data Management
4,Biostatistics
4,Clinical Science
4,Safety Science
4,Quality Functions
5,Clinical Operations
5,Data Management
5,Biostatistics
5,Clinical Science
5,Safety Science
5,Quality Functions
6,Clinical Operations
6,Data Management
6,Biostatistics
6,Clinical Science
6,Safety Science
6,Quality Functions
6,Other
7,Clinical Operations
7,Data Management
7,Biostatistics
7,Other
8,Clinical Operations
8,Data Management
8,Biostatistics
8,Clinical Science
8,Safety Science
8,Quality Functions
9,Data Management
10,Clinical Operations
11,Clinical Operations
11,Data Management
11,Biostatistics
11,Clinical Science
11,Safety Science
11,Quality Functions
12,Clinical Operations
12,Data Management
12,Biostatistics
12,Clinical Science
12,Safety Science
12,Quality Functions
13,Clinical Operations
13,Data Management
13,Biostatistics
13,Clinical Science
13,Safety Science
13,Quality Functions
14,Clinical Operations
14,Data Management
14,Biostatistics
14,Clinical Science
15,Clinical Operations
15,Data Management
15,Biostatistics
15,Other
