response_id,comment_why
1,
2,Studies with less sites or small sample size
3,
4,
5,"We try and offer something on phase 1, phase ii, phase iii and complex designs but its not always possible"
6,Risk management to all studies but cetralized monitoring not for small sample size studies or single site studies or with short duration studies - process under implementation
7,Rbqm concept driven by early/late clinical operations
8,All studies are in scope
9,
10,All areas look at risk
11,
12,Its been difficult to establish meaningful qtls
13,Observational and epidemiology study
14,
15,All studies considered to take risk based approach as risk assessments and mitigation planning are done for all.
