response_id,stage_phase,rbm_approaches
1,FIH,CTQ Factors
1,FIH,QbD Processes
1,FIH,QTL'S
1,FIH,Alignment of QTL'S with CTQ'S
1,FIH,Other Risk-Based Approaches
1,Phase I Non-FIH,CTQ Factors
1,Phase I Non-FIH,QbD Processes
1,Phase I Non-FIH,QTL'S
1,Phase I Non-FIH,Alignment of QTL'S with CTQ'S
1,Phase I Non-FIH,Other Risk-Based Approaches
1,Phase II,CTQ Factors
1,Phase II,QbD Processes
1,Phase II,QTL'S
1,Phase II,Alignment of QTL'S with CTQ'S
1,Phase II,Other Risk-Based Approaches
1,Phase III - RS,CTQ Factors
1,Phase III - RS,QbD Processes
1,Phase III - RS,QTL'S
1,Phase III - RS,Alignment of QTL'S with CTQ'S
1,Phase III - RS,Other Risk-Based Approaches
1,Phase III - FU,CTQ Factors
1,Phase III - FU,QbD Processes
1,Phase III - FU,QTL'S
1,Phase III - FU,Alignment of QTL'S with CTQ'S
1,Phase III - FU,Other Risk-Based Approaches
1,Phase IV,CTQ Factors
1,Phase IV,QbD Processes
1,Phase IV,QTL'S
1,Phase IV,Alignment of QTL'S with CTQ'S
1,Phase IV,Other Risk-Based Approaches
2,FIH,CTQ Factors
2,FIH,QTL'S
2,FIH,Alignment of QTL'S with CTQ'S
2,FIH,Other Risk-Based Approaches
2,Phase I Non-FIH,CTQ Factors
2,Phase I Non-FIH,QTL'S
2,Phase I Non-FIH,Alignment of QTL'S with CTQ'S
2,Phase I Non-FIH,Other Risk-Based Approaches
2,Phase II,CTQ Factors
2,Phase II,QTL'S
2,Phase II,Alignment of QTL'S with CTQ'S
2,Phase II,Other Risk-Based Approaches
2,Phase III - RS,CTQ Factors
2,Phase III - RS,QTL'S
2,Phase III - RS,Alignment of QTL'S with CTQ'S
2,Phase III - RS,Other Risk-Based Approaches
2,Phase III - FU,CTQ Factors
2,Phase III - FU,QTL'S
2,Phase III - FU,Alignment of QTL'S with CTQ'S
2,Phase III - FU,Other Risk-Based Approaches
3,Phase II,QTL'S
3,Phase III - RS,QTL'S
4,Phase I Non-FIH,QTL'S
4,Phase I Non-FIH,Other Risk-Based Approaches
4,Phase II,QTL'S
4,Phase II,Other Risk-Based Approaches
4,Phase III - RS,QTL'S
4,Phase III - RS,Other Risk-Based Approaches
4,Phase III - FU,QTL'S
4,Phase III - FU,Other Risk-Based Approaches
4,Phase IV,Other Risk-Based Approaches
5,FIH,CTQ Factors
5,FIH,QbD Processes
5,FIH,Other Risk-Based Approaches
5,Phase II,CTQ Factors
5,Phase II,QbD Processes
5,Phase II,QTL'S
5,Phase II,Alignment of QTL'S with CTQ'S
5,Phase II,Other Risk-Based Approaches
5,Phase III - RS,CTQ Factors
5,Phase III - RS,QbD Processes
5,Phase III - RS,QTL'S
5,Phase III - RS,Alignment of QTL'S with CTQ'S
5,Phase III - RS,Other Risk-Based Approaches
5,Phase III - FU,CTQ Factors
5,Phase III - FU,QbD Processes
5,Phase III - FU,QTL'S
5,Phase III - FU,Alignment of QTL'S with CTQ'S
5,Phase III - FU,Other Risk-Based Approaches
5,Phase IV,CTQ Factors
5,Phase IV,QbD Processes
5,Phase IV,Other Risk-Based Approaches
6,FIH,CTQ Factors
6,FIH,QbD Processes
6,FIH,Other Risk-Based Approaches
6,Phase I Non-FIH,CTQ Factors
6,Phase I Non-FIH,QbD Processes
6,Phase I Non-FIH,Other Risk-Based Approaches
6,Phase II,CTQ Factors
6,Phase II,QbD Processes
6,Phase II,Other Risk-Based Approaches
6,Phase III - RS,CTQ Factors
6,Phase III - RS,QbD Processes
6,Phase III - RS,Other Risk-Based Approaches
6,Phase III - FU,CTQ Factors
6,Phase III - FU,QbD Processes
6,Phase III - FU,Other Risk-Based Approaches
6,Phase IV,CTQ Factors
6,Phase IV,QbD Processes
6,Phase IV,Other Risk-Based Approaches
7,FIH,CTQ Factors
7,FIH,QbD Processes
7,Phase I Non-FIH,CTQ Factors
7,Phase I Non-FIH,QbD Processes
7,Phase II,CTQ Factors
7,Phase II,QbD Processes
7,Phase III - RS,CTQ Factors
7,Phase III - RS,QbD Processes
7,Phase III - RS,QTL'S
7,Phase III - RS,Alignment of QTL'S with CTQ'S
7,Phase III - FU,CTQ Factors
7,Phase III - FU,QbD Processes
7,Phase III - FU,QTL'S
7,Phase III - FU,Alignment of QTL'S with CTQ'S
8,Phase I Non-FIH,Other Risk-Based Approaches
8,Phase II,CTQ Factors
8,Phase II,QbD Processes
8,Phase II,QTL'S
8,Phase II,Alignment of QTL'S with CTQ'S
8,Phase III - RS,CTQ Factors
8,Phase III - RS,QbD Processes
8,Phase III - RS,QTL'S
8,Phase III - RS,Alignment of QTL'S with CTQ'S
